kanji,on-yomi,kun-yomi,meaning,examples
死,シ,し・ぬ,death,死ぬ (しぬ) to die; to pass away
民,ミン,たみ,nation; people,市民 (しみん) city resident; townspeople
池,チ,いけ,pond; pool,池 (いけ) pond
注,チュウ,さ・す、そそ・ぐ、つ・ぐ,annotate; comment; concentrate on; flow into,"注射 (ちゅうしゃ) injection; shot
注意 (ちゅうい) caution; attention; warning"
洋,ヨウ,,ocean; sea; Western style; foreign,"洋服 (ようふく) Western-style clothes
西洋 (せいよう) the west; Western countries"
洗,セン,あら・う,inquire into; probe; wash,"お手洗い (おてあらい) toilet; restroom
洗う (あらう) to wash; to cleanse
洗濯 (せんたく) washing; laundry"
海,カイ,うみ,ocean,"海 (うみ) sea; ocean
海岸 (かいがん) coast; beach"
漢,カン,,China; Sino-,漢字 (かんじ) Chinese characters; kanji
牛,ギュウ,うし,cow,"牛乳 (ぎゅうにゅう) (cow's) milk
牛肉 (ぎゅうにく) beef"
物,ブツ、モツ,もの,matter; object; thing,"動物 (どうぶつ) animal
動物園 (どうぶつえん) zoo
果物 (くだもの) fruit
荷物 (にもつ) luggage; package
見物 (けんぶつ) sightseeing; watching"
特,トク,,special,"特に (とくに) particularly; especially
特別 (とくべつ) special
特急 (とっきゅう) limited express (train, faster than an express)"
犬,ケン,いぬ,dog,犬 (いぬ) dog
理,リ,ことわり,arrangement; justice; logic; reason,"地理 (ちり) geography
料理 (りょうり) cooking; cuisine
無理 (むり) impossible
理由 (りゆう) reason; motive"
産,サン,う・まれる、う・む,childbirth; native; products; property,"お土産 (おみやげ) present; souvenir
生産 (せいさん) production; manufacture
産業 (さんぎょう) industry"
用,ヨウ,もち・いる,business; employ; use,"利用 (りよう) use; utilization
用 (よう) business; task | use; purpose
用事 (ようじ) things to do; errand; business (to take care of)
用意 (ようい) preparation; arrangements"
田,デン,た,rice field; rice paddy,田舎 (いなか) rural area; countryside
町,チョウ,まち,block; street; town; village,町 (まち) town
画,エ、カク、ガ,えが・く、はか・る,brush-stroke; picture,"映画 (えいが) movie; film
映画館 (えいがかん) movie theatre
漫画 (まんが) cartoon; comic
計画 (けいかく) plan; schedule"
界,カイ,,boundary; world,世界 (せかい) world
病,ビョウ,やまい、や・む,ill; sick,"病気 (びょうき) illness; disease
病院 (びょういん) hospital"
発,ハツ、ホツ,た・つ、つか・わす、はな・つ,departure; disclose; emit; publish; start from,"出発 (しゅっぱつ) departure
発音 (はつおん) pronunciation"
目,ボク、モク,め,eye; insight; experience; favor,"目 (め) eye; eyeball
真面目 (まじめ) diligent; serious; honest
～目 (～め) number in a sequence"
県,ケン,,prefecture,千葉県 (ちばけん) Chiba Prefeture
真,シン,ま、まこと,Buddhist sect; reality; true,"写真 (しゃしん) photograph; photo; picture
真中 (まんなか) middle; center
真面目 (まじめ) diligent; serious; honest"
着,ジャク、チャク,き・せる、き・る、つ・く、つ・ける,arrive; don; wear,"上着 (うわぎ) coat; tunic; jacket; outer garment
下着 (したぎ) underwear
着く (つく) to arrive at; to reach
着る (きる) to wear; to put on
着物 (きもの) kimono (or other trad. Japanese clothing)"
知,チ,し・らせる、し・る,know; wisdom,"承知 (しょうち) consent; acceptance
知らせる (しらせる) to notify; to inform
知る (しる) to know"
短,タン,みじか・い,brevity; short; defect; fault,短い (みじかい) short
研,ケン,と・ぐ,polish; sharpen,"研究 (けんきゅう) study; research
研究室 (けんきゅうしつ) laboratory"
社,シャ,やしろ,association; company; shrine,"会社 (かいしゃ) company
社会 (しゃかい) society
社長 (しゃちょう) company president
神社 (じんじゃ) Shinto shrine"
私,シ,わたくし、わたし,I; me; private,私 (わたし) I; me
秋,シュウ,あき,autumn,秋 (あき) autumn; fall
究,キュウ、ク,きわ・める,research; study,"研究 (けんきゅう) study; research
研究室 (けんきゅうしつ) laboratory"
空,クウ,あ・く、あ・ける、から、す・く,empty; vacuum; sky,"空 (そら) sky
空く (あく) (あく) to be open; to become empty
空く (すく) (すく) to become less crowded; to get empty
空気 (くうき) air; atmosphere | mood; situation
空港 (くうこう) airport"
立,リツ、リュウ,た・つ、た・てる,erect; rise; stand up,"役に立つ (やくにたつ) to be useful
立つ (たつ) to stand; to rise
立てる (たてる) to stand up; to erect
立派 (りっぱ) splendid; fine"
答,トウ,こた・える,answer; solution,"答 (こたえ) answer; reply
答える (こたえる) to answer; to reply"
紙,シ,かみ,paper,"手紙 (てがみ) letter
紙 (かみ) paper"
終,シュウ,お・える、お・わる,end; finish,"終わり (おわり) the end
終わる (おわる) to end; to finish"
習,シュウ,なら・う,learn,"予習 (よしゅう) preparation for a lesson
復習 (ふくしゅう) review
練習 (れんしゅう) practice
習う (ならう) to learn
習慣 (しゅうかん) habit; custom"
考,コウ,かんが・える,consider,考える (かんがえる) to think; to ponder
者,シャ,もの,person,"医者 (いしゃ) doctor
歯医者 (はいしゃ) dentist"
肉,ニク,,meat,"牛肉 (ぎゅうにく) beef
肉 (にく) flesh | meat
豚肉 (ぶたにく) pork
鶏肉 (とりにく) chicken meat"
自,シ、ジ,みずか・ら,oneself,"自分 (じぶん) myself; oneself
自動車 (じどうしゃ) automobile
自由 (じゆう) freedom
自転車 (じてんしゃ) bicycle"
色,シキ、ショク,いろ,color,"景色 (けしき) scenery; scene; landscape
色 (いろ) color
色々 (いろいろ) various
茶色 (ちゃいろ) brown
黄色い (きいろい) yellow"
花,カ,はな,flower,"花 (はな) flower
花瓶 (かびん) (flower) vase
花見 (はなみ) cherry blossom viewing"
英,エイ,,England; English,英語 (えいご) English
茶,サ、チャ,,tea,"お茶 (おちゃ) tea (usu. Green)
喫茶店 (きっさてん) coffee shop; cafe
紅茶 (こうちゃ) black tea
茶色 (ちゃいろ) brown"
菜,サイ,な,greens; vegetable,野菜 (やさい) vegetable
薬,ヤク,くすり,chemical; medicine,薬 (くすり) medicine; pharmaceuticals
親,シン,おや、した・しい、した・しむ,parent; relative; intimacy,"両親 (りょうしん) both parents
親 (おや) parent(s)
親切 (しんせつ) kindness; gentleness"
言,ゲン、ゴン,い・う,say; word,"言う (いう) to say; to utter
言葉 (ことば) word; phrase"
計,ケイ,はか・る,measure; plan,"時計 (とけい) watch; clock
計画 (けいかく) plan; schedule"
試,シ,こころ・みる、ため・す,test; try,"試合 (しあい) match; game
試験 (しけん) exam; test"
説,セツ、ゼイ,と・く,explanation; opinion,"小説 (しょうせつ) novel; (short) story
説明 (せつめい) explanation; exposition"
買,バイ,か・う,buy,"買い物 (かいもの) shopping; purchased goods
買う (かう) to buy"
貸,タイ,か・す,lend,貸す (かす) to lend
質,シチ、シツ、チ,,matter; quality,質問 (しつもん) question; inquiry
赤,シャク、セキ,あか、あか・い、あか・らむ、あか・らめる,red,"赤 (あか) red; crimson; scarlet
赤い (あかい) red
赤ちゃん (あかちゃん) baby
赤ん坊 (あかんぼう) baby; infant"
走,ソウ,はし・る,run,走る (はしる) to run
起,キ,お・きる、お・こす、お・こる,get up; wake up,"起きる (おきる) to get up; to wake up
起こす (おこす) to wake up
起す (おこす) to wake up"
足,ソク,あし、た・す、た・りる、た・る,leg; foot; be sufficient,"足 (あし) foot | leg
足す (たす) to add
足りる (たりる) to be sufficient; to be enough"
転,テン,ころ・がす、ころ・がる、ころ・げる、ころ・ぶ,revolve,"自転車 (じてんしゃ) bicycle
運転 (うんてん) operation (of a machine, etc.); driving
運転手 (うんてんしゅ) driver; chauffeur"
軽,ケイ,かる・い、かろ・やか,light; unimportant,軽い (かるい) light (i.e. not heavy)
近,キン、コン,ちか・い,akin; near,"最近 (さいきん) recently
近い (ちかい) near; close
近く (ちかく) near
近所 (きんじょ) neighborhood"
送,ソウ,おく・る,escort; send,"放送 (ほうそう) broadcast
送る (おくる) to send; to dispatch | to escort"
通,ツ、ツウ,かよ・う、とお・す、とお・る,avenue; commute; pass through,"交通 (こうつう) traffic; transportation; communication
普通 (ふつう) usual; ordinary
通う (かよう) to go to (school, work, etc.); to commute
通り (とおり) street; road
通る (とおる) to pass by; to go through"
週,シュウ,,week,"今週 (こんしゅう) this week
来週 (らいしゅう) next week
毎週 (まいしゅう) every week
～週間 (～しゅうかん) period of weeks"
進,シン,すす・む、すす・める,advance; proceed,進む (すすむ) to advance; to proceed
運,ウン,はこ・ぶ,carry; destiny; fate,"運ぶ (はこぶ) to carry
運動 (うんどう) exercise; physical training
運転 (うんてん) operation (of a machine, etc.); driving
運転手 (うんてんしゅ) driver; chauffeur"
道,トウ、ドウ,みち,road-way; street; teachings,"柔道 (じゅうどう) judo
水道 (すいどう) water supply; water works
道 (みち) road; street
道具 (どうぐ) tool; apparatus; device"
遠,エン、オン,とお・い,far,"遠い (とおい) far; distant
遠く (とおく) far away; distant
遠慮 (えんりょ) holding back (out of politeness)"
都,ツ、ト,みやこ,capital; metropolis,"都 (と) metropolis; city
都合 (つごう) circumstances; condition | arrangement"
重,ジュウ、チョウ,おも・い、かさ・なる、かさ・ねる,heavy; important; pile up,重い (おもい) heavy; weighty
野,ヤ,の,field; rustic,野菜 (やさい) vegetable
銀,ギン,しろがね,silver,銀行 (ぎんこう) bank
門,モン,かど,gate,"専門 (せんもん) speciality; area of expertise
門 (もん) gate"
開,カイ,あ・く、あ・ける、ひら・く、ひら・ける,open; unfold,"開く (あく) to open (e.g. doors)
開く（ひらく） (ひらく) to open
開ける (あける) to open (a door, etc.); to unwrap; to unlock"
院,イン,,institution,"入院 (にゅういん) hospitalization
病院 (びょういん) hospital
退院 (たいいん) discharge from hospital"
集,シュウ,あつ・まる、あつ・める,flock; gather,"集まる (あつまる) to gather
集める (あつめる) to collect; to assemble; to gather"
青,ショウ、セイ,あお、あお・い,blue; green,"青 (あお) blue; green
青い (あおい) blue; green"
音,イン、オン,おと、ね,noise; sound,"発音 (はつおん) pronunciation
音 (おと) sound; noise
音楽 (おんがく) music"
頭,ズ、ト、トウ,あたま、かしら,head,頭 (あたま) head
題,ダイ,,subject; topic,"問題 (もんだい) question (e.g. on a test); problem
宿題 (しゅくだい) homework; assignment"
顔,ガン,かお,expression; face,顔 (かお) face | look; expression
風,フ、フウ,かぜ,air; manner; style; wind,"台風 (たいふう) typhoon; hurricane
風 (かぜ) wind; breeze
風呂 (ふろ) bath; bathhouse
風邪 (かぜ) common cold"
飯,ハン,めし,boiled rice; meal,"夕飯 (ゆうめし、ゆうはん) evening meal
御飯 (ごはん) cooked rice | meal
晩御飯 (ばんごはん) dinner"
飲,イン,の・む,drink,"飲み物 (のみもの) drink; beverage
飲む (のむ) to drink; to swallow; to take (medicine)"
館,カン,やかた,(large) building,"図書館 (としょかん) library
大使館 (たいしかん) embassy
旅館 (りょかん) Japanese-style lodging
映画館 (えいがかん) movie theatre
美術館 (びじゅつかん) art museum"
首,シュ,くび,neck,首 (くび) neck
駅,エキ,,station,駅 (えき) station
験,ケン、ゲン,,testing; verification,"経験 (けいけん) experience
試験 (しけん) exam; test"
魚,ギョ,さかな,fish,魚 (さかな) fish
鳥,チョウ,とり,bird; chicken,"小鳥 (ことり) small bird
鳥 (とり) bird"
黒,コク,くろ、くろ・い,black,"黒 (くろ) black
黒い (くろい) black"
